"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","C.Palmer","","43","0.337","0.708","0.708","62.8%","62.2","51.0","11.1","13.4"
"2","E.Manning","","51","0.271","0.572","0.572","64.7%","73.2","66.9","6.3","8.5"
"3","D.Brees","","52","0.294","0.576","0.472","65.4%","78.0","67.7","10.3","8.8"
"4","D.Carr","","36","0.194","0.464","0.464","55.6%","63.9","65.9","-2.0","6.9"
"5","A.Smith","","35","0.179","0.461","0.461","51.4%","69.2","73.8","-4.6","2.7"
"6","P.Rivers","","41","0.266","0.409","0.409","51.2%","77.8","63.9","13.9","5.8"
"7","P.Manning","","33","0.232","0.394","0.394","54.5%","72.4","63.8","8.6","10.4"
"8","J.Winston","","39","0.172","0.388","0.388","48.7%","55.2","57.2","-2.0","10.1"
"9","T.Brady","","46","0.189","0.328","0.328","52.2%","68.4","64.1","4.3","8.5"
"10","M.Ryan","","54","0.231","0.305","0.285","64.8%","82.2","68.9","13.3","6.0"
"11","J.Flacco","","47","0.145","0.255","0.255","51.1%","67.6","66.6","0.9","8.0"
"12","J.Cutler","","37","0.142","0.168","0.168","43.2%","66.7","60.2","6.4","10.2"
"13","G.Smith","","49","0.104","0.129","0.129","57.1%","64.3","62.0","2.3","8.9"
"14","R.Wilson","","35","0.133","0.157","0.114","54.3%","65.5","60.0","5.5","9.0"
"15","T.Bridgewater","","34","0.075","0.107","0.107","44.1%","60.7","62.2","-1.5","8.0"
"16","N.Foles","","25","0.051","0.070","0.070","40.0%","60.9","64.2","-3.4","10.1"
"17","J.McCown","","42","0.038","0.067","0.041","52.4%","52.9","58.5","-5.5","7.5"
"18","A.Dalton","","47","0.029","-0.004","-0.044","46.8%","60.5","63.3","-2.8","8.7"
"19","A.Rodgers","","34","0.017","-0.063","-0.063","47.1%","63.6","65.8","-2.2","5.8"
"20","B.Hoyer","","39","0.037","-0.064","-0.064","38.5%","67.6","66.3","1.4","7.9"
"21","C.Newton","","49","-0.033","-0.089","-0.109","38.8%","45.7","56.5","-10.8","12.5"
"22","M.Cassel","","31","-0.084","-0.115","-0.115","35.5%","52.0","71.7","-19.7","4.2"
"23","A.Luck","","53","-0.008","-0.128","-0.128","37.7%","51.1","56.8","-5.7","12.6"
"24","R.Tannehill","","52","0.041","-0.209","-0.223","38.5%","65.1","62.3","2.8","9.5"
"25","B.Roethlisberger","","55","0.015","-0.248","-0.248","41.8%","62.2","64.5","-2.3","10.2"
"26","M.Stafford","","45","-0.001","-0.285","-0.291","35.6%","61.1","66.8","-5.6","7.7"
"27","C.Kaepernick","","51","-0.072","-0.302","-0.302","31.4%","48.8","67.5","-18.7","6.6"
"28","Z.Mettenberger","","39","0.076","-0.542","-0.560","46.2%","71.0","64.9","6.1","7.2"
