"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","R.Tannehill","","40","0.258","0.510","0.510","62.5%","70.6","63.3","7.3","7.5"
"2","B.Roethlisberger","","45","0.239","0.509","0.499","53.3%","67.6","63.7","3.8","8.8"
"3","A.Luck","","50","0.136","0.296","0.296","42.0%","55.6","59.0","-3.5","9.1"
"4","A.Smith","","33","0.151","0.287","0.287","54.5%","67.7","67.8","-0.1","5.1"
"5","D.Brees","","40","0.207","0.292","0.228","55.0%","72.7","62.9","9.8","6.4"
"6","T.Bridgewater","","48","0.138","0.191","0.191","43.8%","61.9","57.8","4.1","13.1"
"7","T.Brady","","60","0.137","0.187","0.187","51.7%","67.3","63.1","4.2","8.3"
"8","R.Griffin III","","43","0.132","0.183","0.183","48.8%","64.3","60.6","3.6","10.6"
"9","C.Palmer","","36","0.161","0.259","0.172","47.2%","64.7","61.2","3.5","7.8"
"10","M.Sanchez","","29","0.141","0.155","0.123","55.2%","71.4","64.3","7.1","8.0"
"11","A.Dalton","","36","0.082","0.122","0.096","47.2%","61.3","62.5","-1.3","8.6"
"12","R.Fitzpatrick","","38","0.011","0.059","0.059","44.7%","48.1","58.1","-9.9","9.5"
"13","E.Manning","","57","0.036","0.087","0.054","42.1%","54.0","61.3","-7.3","10.0"
"14","R.Wilson","","45","-0.016","0.019","0.019","35.6%","50.0","62.3","-12.3","7.7"
"15","B.Bortles","","40","0.075","0.012","-0.000","45.0%","66.7","61.9","4.7","7.9"
"16","P.Manning","","63","0.042","0.011","-0.014","47.6%","59.6","60.8","-1.2","10.6"
"17","J.Flacco","","52","0.048","-0.016","-0.054","51.9%","68.2","66.7","1.5","6.3"
"18","M.Glennon","","42","0.017","-0.064","-0.092","45.2%","51.5","53.7","-2.2","13.7"
"19","M.Vick","","35","0.094","-0.111","-0.111","48.6%","75.0","62.4","12.6","8.0"
"20","D.Carr","","44","0.002","-0.043","-0.120","45.5%","60.0","65.6","-5.6","5.6"
"21","B.Weeden","","39","-0.029","-0.142","-0.147","41.0%","54.5","64.2","-9.7","8.3"
"22","B.Hoyer","","41","0.035","-0.098","-0.154","41.5%","61.8","60.0","1.8","12.0"
"23","N.Foles","","16","0.116","0.018","-0.168","50.0%","75.0","63.1","11.9","9.8"
"24","C.Kaepernick","","50","0.020","-0.156","-0.176","46.0%","66.7","67.3","-0.7","6.2"
"25","A.Davis","","27","-0.047","-0.217","-0.222","40.7%","54.2","67.5","-13.3","4.4"
"26","C.Newton","","40","-0.084","-0.242","-0.248","35.0%","35.7","55.9","-20.2","13.1"
"27","P.Rivers","","27","-0.006","-0.423","-0.449","37.0%","52.2","59.9","-7.8","10.7"
