1	2593	Aaron Rodgers
2	14008	Andrew Luck
3	14536	Russell Wilson
4	7328	Peyton Manning
5	3807	Ben Roethlisberger
6	7242	Drew Brees
7	732	Matt Ryan
8	13799	Ryan Tannehill
9	4314	Tom Brady
10	4932	Eli Manning
11	3867	Tony Romo
12	8244	Philip Rivers
13	611	Joe Flacco
14	8972	Jay Cutler
15	9038	Matthew Stafford P
16	13443	Colin Kaepernick
17	13320	Cam Newton
18	12841	Andy Dalton
19	6739	Alex Smith O
20	16311	Derek Carr
21	8283	Ryan Fitzpatrick
22	16497	Teddy Bridgewater
23	8703	Kyle Orton
24	16245	Blake Bortles
25	8358	Brian Hoyer
26	14895	Geno Smith
27	8415	Mark Sanchez
28	5282	Josh McCown O
29	13723	Nick Foles
30	14404	Austin Davis
31	2428	Carson Palmer
32	4737	Drew Stanton
33	11992	Shaun Hill
34	15201	Mike Glennon
35	14252	Kirk Cousins
36	14257	Robert Griffin III IR
37	12137	Charlie Whitehurst
38	16175	Zach Mettenberger
39	12925	Jake Locker
40	11047	Colt McCoy
41	14868	EJ Manuel
42	12083	Derek Anderson
43	9447	Michael Vick
44	2405	Chad Henne
45	8723	Matt Cassel
45	15694	Case Keenum
47	14482	Ryan Lindley
48	13910	Brandon Weeden
49	12771	Ryan Mallett
50	1034	Matt Hasselbeck
51	11447	Jimmy Clausen
52	13270	Christian Ponder
53	16041	Jimmy Garoppolo IR
54	16135	Johnny Manziel
55	9902	Chase Daniel
56	14053	Brock Osweiler
57	12982	Blaine Gabbert
58	15746	Matt McGloin
59	16139	Connor Shaw
60	15093	Ryan Nassib
61	15982	Matt Simms
62	11859	Jason Campbell
63	5834	Matt Moore
64	12956	TJ Yates
65	16211	Tom Savage
66	5054	Kellen Clemens
67	1482	Jordan Palmer
68	4097	Tarvaris Jackson
68	6276	Luke McCown
68	14855	Matt Barkley
71	8769	Bruce Gradkowski
72	12831	Tyrod Taylor
73	3895	Matt Flynn
74	4633	Matt Schaub
GB	QB	16	341	520	65.6	4381	8.4	38	5	112.19	43	269	6.3	2	22.1	354.14
IND	QB	16	380	616	61.7	4761	7.7	40	16	96.52	64	263	4.1	3	21.9	350.74
SEA	QB	16	285	452	63.1	3475	7.7	20	7	94.96	118	849	7.2	6	20.5	328.6
DEN	QB	16	395	597	66.2	4727	7.9	39	15	101.52	24	-24	-1	0	19.5	312.68
PIT	QB	16	408	608	67.1	4952	8.1	32	9	103.32	32	27	0.8	0	19.1	306.18
NO	QB	16	456	659	69.2	4952	7.5	33	17	97	27	68	2.5	1	19	303.98
ATL	QB	16	415	628	66.1	4694	7.5	28	14	93.87	29	145	5	0	17.8	284.26
MIA	QB	16	392	590	66.4	4045	6.9	27	12	92.8	56	311	5.6	1	17.5	279.5
NE	QB	16	374	583	64.2	4109	7	33	9	97.34	36	57	1.6	0	17.4	278.06
NYG	QB	16	379	601	63.1	4410	7.3	30	14	92.14	12	31	2.6	1	16.8	269.5
DAL	QB	15	304	435	69.9	3705	8.5	34	9	113.24	26	61	2.3	0	17.8	266.3
LAC	QB	16	379	570	66.5	4286	7.5	31	18	93.79	38	104	2.7	0	16.6	265.84
BAL	QB	16	344	555	62	3986	7.2	27	12	90.87	39	70	1.8	2	16.4	262.44
CHI	QB	15	370	561	66	3812	6.8	28	18	88.63	39	191	4.9	2	17	255.58
DET	QB	16	363	602	60.3	4257	7.1	22	12	85.67	43	93	2.2	2	15.7	251.58
SF	QB	16	289	478	60.5	3369	7	19	10	86.37	105	641	6.1	1	15.7	250.86
CAR	QB	14	262	448	58.5	3127	7	18	12	82.13	103	539	5.2	5	17.8	248.98
CIN	QB	16	309	482	64.1	3398	7	19	17	83.32	60	169	2.8	4	14.1	225.62
KC	QB	15	303	464	65.3	3265	7	18	6	93.36	49	254	5.2	1	14.7	220
LV	QB	16	348	599	58.1	3270	5.5	21	12	76.58	30	87	2.9	0	12	191.5
