1	18890	Patrick Mahomes
2	732	Matt Ryan
3	3807	Ben Roethlisberger
4	18857	Deshaun Watson
5	14008	Andrew Luck
6	2593	Aaron Rodgers
7	17922	Jared Goff Q
8	7242	Drew Brees
9	14536	Russell Wilson
10	18055	Dak Prescott IR
11	8244	Philip Rivers
12	14252	Kirk Cousins
13	13320	Cam Newton
14	4314	Tom Brady
15	18811	Mitchell Trubisky
16	19790	Baker Mayfield
17	4932	Eli Manning
18	16311	Derek Carr
19	15694	Case Keenum
20	9038	Matthew Stafford P
21	19801	Josh Allen
22	16762	Jameis Winston
23	17920	Carson Wentz
24	16763	Marcus Mariota
25	12841	Andy Dalton
26	16245	Blake Bortles
27	19812	Sam Darnold
28	8283	Ryan Fitzpatrick
29	19781	Lamar Jackson
30	13799	Ryan Tannehill
31	6739	Alex Smith O
32	611	Joe Flacco
33	19330	Nick Mullens IR
34	19763	Josh Rosen
35	18123	Jeff Driskel O
36	13723	Nick Foles
37	18973	C.J. Beathard
38	14053	Brock Osweiler
39	6489	Josh Johnson
40	16041	Jimmy Garoppolo IR
41	12831	Tyrod Taylor
42	17966	Cody Kessler
43	19238	Taysom Hill
44	12982	Blaine Gabbert
45	9902	Chase Daniel
46	11047	Colt McCoy
47	20053	Kyle Allen IR
48	5282	Josh McCown O
49	14855	Matt Barkley
50	17179	Taylor Heinicke
51	19029	Nathan Peterman O
52	11527	Sam Bradford
53	15201	Mike Glennon
54	16497	Teddy Bridgewater
55	12083	Derek Anderson
56	18868	DeShone Kizer
57	18104	Nate Sudfeld O
58	8723	Matt Cassel
59	16621	Garrett Gilbert
60	2405	Chad Henne
61	4633	Matt Schaub
62	14257	Robert Griffin III IR
63	19025	Joshua Dobbs O
64	8415	Mark Sanchez
65	16116	AJ McCarron
66	16850	Sean Mannion
67	19461	Cooper Rush
68	13910	Brandon Weeden
68	18897	Chad Kelly
70	8358	Brian Hoyer
71	18018	Jacoby Brissett
72	14895	Geno Smith
73	19913	Kyle Lauletta
KC	QB	16	383	580	66	5097	8.8	50	12	113.84	60	272	4.5	2	26.1	417.08
ATL	QB	16	422	608	69.4	4924	8.1	35	7	108.06	33	125	3.8	3	22.2	354.96
PIT	QB	16	452	675	67	5129	7.6	34	16	96.46	31	98	3.2	3	21.4	341.86
HOU	QB	16	345	505	68.3	4165	8.2	26	9	103.11	99	551	5.6	5	20.7	331.7
IND	QB	16	430	639	67.3	4593	7.2	39	15	98.67	46	148	3.2	0	20.5	327.92
GB	QB	16	372	597	62.3	4442	7.4	25	2	97.57	43	269	6.3	2	19.5	312.58
LAR	QB	16	364	561	64.9	4688	8.4	32	12	101.07	43	108	2.5	2	19.4	310.32
NO	QB	15	364	489	74.4	3992	8.2	32	5	115.68	31	22	0.7	4	20.3	304.98
SEA	QB	16	280	427	65.6	3448	8.1	35	7	110.87	67	376	5.6	0	18.7	299.42
DAL	QB	16	356	526	67.7	3884	7.4	22	8	96.86	75	305	4.1	6	17.9	285.86
LAC	QB	16	347	508	68.3	4308	8.5	32	12	105.5	18	7	0.4	0	17.8	285.02
MIN	QB	16	425	606	70.1	4298	7.1	30	10	99.7	44	123	2.8	1	17.7	283.12
CAR	QB	14	320	471	67.9	3395	7.2	24	13	94.22	101	488	4.8	4	20.2	282.6
NE	QB	16	375	570	65.8	4355	7.6	29	11	97.66	23	35	1.5	2	17.6	281.3
CHI	QB	14	289	434	66.6	3223	7.4	24	12	95.43	68	421	6.2	3	18.8	263.02
CLE	QB	14	310	486	63.8	3725	7.7	27	14	93.69	39	131	3.4	0	17.2	240.1
NYG	QB	16	380	576	66	4299	7.5	21	11	92.35	15	20	1.3	1	15	239.96
LV	QB	16	381	553	68.9	4049	7.3	19	10	93.92	24	47	2	1	13.5	216.76
DEN	QB	16	365	586	62.3	3890	6.6	18	15	81.22	26	93	3.6	2	13.4	214.9
DET	QB	16	367	555	66.1	3777	6.8	21	11	89.9	25	71	2.8	0	13.3	212.18
BUF	QB	12	169	320	52.8	2074	6.5	10	12	67.89	89	631	7.1	8	17.3	208.06
TB	QB	11	244	378	64.6	2992	7.9	19	14	90.18	49	281	5.7	1	17.8	195.78
PHI	QB	11	279	401	69.6	3074	7.7	21	7	102.19	34	93	2.7	0	17.6	193.66
TEN	QB	14	228	331	68.9	2528	7.6	11	8	92.31	64	357	5.6	2	12.6	175.92
CIN	QB	11	226	365	61.9	2566	7	21	11	89.59	16	99	6.2	0	15.9	174.54
JAX	QB	13	243	403	60.3	2718	6.7	13	11	79.81	58	365	6.3	1	13.3	173.22
