1	2593	Aaron Rodgers
2	7242	Drew Brees
3	13320	Cam Newton
4	4314	Tom Brady
5	9038	Matthew Stafford P
6	4932	Eli Manning
7	3867	Tony Romo
8	732	Matt Ryan
9	8244	Philip Rivers
10	8415	Mark Sanchez
11	9447	Michael Vick
12	8283	Ryan Fitzpatrick
13	3807	Ben Roethlisberger
14	6739	Alex Smith O
15	12841	Andy Dalton
16	9226	Josh Freeman
17	611	Joe Flacco
18	11196	Tim Tebow
19	1034	Matt Hasselbeck
20	11047	Colt McCoy
21	4097	Tarvaris Jackson
22	4633	Matt Schaub
23	5834	Matt Moore
24	11952	Rex Grossman
25	8972	Jay Cutler
26	2428	Carson Palmer
27	13270	Christian Ponder
28	12982	Blaine Gabbert
29	11567	John Skelton
30	7034	Kevin Kolb
31	8723	Matt Cassel
32	11527	Sam Bradford
33	8703	Kyle Orton
34	11859	Jason Campbell
35	8621	Curtis Painter
36	7015	Donovan McNabb
37	2405	Chad Henne
38	8590	Dan Orlovsky
39	11942	John Beck
40	12925	Jake Locker
41	3895	Matt Flynn
42	12956	TJ Yates
43	4124	Vince Young
44	5054	Kellen Clemens
45	11755	Seneca Wallace
46	7755	Caleb Hanie
47	12597	Tyler Palko
48	5282	Josh McCown O
49	3108	Kerry Collins
50	12070	AJ Feeley
51	6489	Josh Johnson
52	8844	Stephen McGee
53	12137	Charlie Whitehurst
54	11741	Jake Delhomme
55	8769	Bruce Gradkowski
56	12592	Richard Bartel
57	12201	Matt Leinart
58	5486	Charlie Batch
59	8064	Chris Redman
60	11858	Kyle Boller
61	6276	Luke McCown
62	8842	Jon Kitna
63	12485	JP Losman
64	11992	Shaun Hill
65	13443	Colin Kaepernick
66	11688	Mark Brunell
67	12831	Tyrod Taylor
68	9902	Chase Daniel
69	8358	Brian Hoyer
70	11323	Mike Kafka
71	8673	Tom Brandstater
71	10190	Rudy Carpenter
73	12083	Derek Anderson
74	4270	Billy Volek
IND	QB	8	122	193	63.2	1201	6.2	6	4	82.42	6	5	0.8	0	7.3	58.54
WAS	QB	4	80	132	60.6	858	6.5	2	4	72.1	12	43	3.6	2	12.7	50.62
TEN	QB	5	34	66	51.5	542	8.2	4	0	99.43	8	56	7	1	9.9	49.28
GB	QB	5	33	49	67.3	518	10.6	6	2	124.83	13	-6	-0.5	1	8.8	44.12
HOU	QB	6	82	134	61.2	949	7.1	3	3	80.72	14	57	4.1	0	7.3	43.66
PHI	QB	6	66	114	57.9	866	7.6	4	9	60.78	18	79	4.4	0	6.8	40.54
LAR	QB	3	48	91	52.7	546	6	2	1	73.79	6	37	6.2	1	12.5	37.54
CLE	QB	6	55	107	51.4	567	5.3	2	2	65.44	7	70	10	0	5.8	34.78
CHI	QB	6	51	102	50	613	6	3	9	41.83	13	98	7.5	0	4.7	28.32
KC	QB	6	81	135	60	802	5.9	2	7	60.17	5	15	3	0	4.3	25.58
CHI	QB	3	35	55	63.6	414	7.5	2	4	68.3	12	68	5.7	0	8.5	25.36
IND	QB	3	48	98	49	481	4.9	2	1	65.9	2	-1	-0.5	0	6.4	19.14
LAR	QB	5	53	97	54.6	548	5.6	1	2	66	3	4	1.3	0	3.7	18.32
TB	QB	9	19	36	52.8	246	6.8	1	2	60.65	11	67	6.1	0	1.6	14.54
DAL	QB	1	24	38	63.2	182	4.8	1	0	83.44	4	28	7	0	14.1	14.08
SEA	QB	3	27	56	48.2	298	5.3	1	1	62.95	5	10	2	0	4.3	12.92
HOU	QB	1	18	28	64.3	211	7.5	1	0	98.96	0	0	0	0	10.4	10.44
CIN	QB	2	8	18	44.4	109	6.1	1	1	59.72	3	1	0.3	0	3.2	6.46
ARI	QB	2	10	22	45.5	86	3.9	1	1	52.46	1	9	9	0	3.2	6.34
HOU	QB	2	10	13	76.9	57	4.4	1	0	110.1	1	-1	-1	0	3.1	6.18
PIT	QB	4	15	24	62.5	208	8.7	0	1	72.92	3	-2	-0.7	0	1.5	6.12
ATL	QB	5	18	28	64.3	188	6.7	0	1	68.75	5	-6	-1.2	0	1	4.92
LV	QB	2	15	28	53.6	161	5.8	0	3	31.1	9	38	4.2	0	2.1	4.24
JAX	QB	4	30	56	53.6	296	5.3	0	4	38.99	7	23	3.3	0	1	4.14
DAL	QB	3	6	10	60	87	8.7	1	2	82.08	3	-2	-0.7	0	1.1	3.28
MIA	QB	2	6	10	60	60	6	0	0	77.08	2	1	0.5	0	1.2	2.5
DET	QB	2	2	3	66.7	33	11	0	0	103.47	1	-1	-1	0	0.6	1.22
SF	QB	3	3	5	60	35	7	0	0	81.25	2	-2	-1	0	0.4	1.2
NYJ	QB	16	1	3	33.3	27	9	0	0	67.36	0	0	0	0	0.1	1.08
BAL	QB	3	1	1	100	18	18	0	0	118.75	1	2	2	0	0.3	0.92
NO	QB	16	4	5	80	29	5.8	0	0	90.83	3	-3	-1	0	0.1	0.86
NE	QB	3	1	1	100	22	22	0	0	118.75	4	-3	-0.8	0	0.2	0.58
PHI	QB	4	11	16	68.8	107	6.7	0	2	47.66	3	0	0	0	0.1	0.28
LAR	QB	1	0	2	0	0	0	0	0	39.58	0	0	0	0	0	0
TB	QB	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAR	QB	2	0	0	0	0	0	0	0	0	2	-2	-1	0	-0.1	-0.2
LAC	QB	2	0	0	0	0	0	0	0	0	5	-5	-1	0	-0.2	-0.5
