1	7328	Peyton Manning
2	7242	Drew Brees
3	13320	Cam Newton
4	14008	Andrew Luck
5	12841	Andy Dalton
6	8244	Philip Rivers
7	9038	Matthew Stafford P
8	14536	Russell Wilson
9	13443	Colin Kaepernick
10	3867	Tony Romo
11	3807	Ben Roethlisberger
12	13723	Nick Foles
13	6739	Alex Smith O
14	4314	Tom Brady
15	732	Matt Ryan
16	13799	Ryan Tannehill
17	2428	Carson Palmer
18	14257	Robert Griffin III IR
19	611	Joe Flacco
20	14895	Geno Smith
21	4932	Eli Manning
22	2593	Aaron Rodgers
23	8972	Jay Cutler
24	8283	Ryan Fitzpatrick
25	2405	Chad Henne
26	15201	Mike Glennon
27	5282	Josh McCown O
28	14868	EJ Manuel
29	11527	Sam Bradford
30	11859	Jason Campbell
31	8723	Matt Cassel
32	13270	Christian Ponder
33	4633	Matt Schaub
34	15694	Case Keenum
35	9447	Michael Vick
36	12925	Jake Locker
37	13910	Brandon Weeden
38	5054	Kellen Clemens
39	15746	Matt McGloin
40	3895	Matt Flynn
41	13697	Thaddeus Lewis
42	8358	Brian Hoyer
43	13103	Scott Tolzien
44	14252	Kirk Cousins
45	9226	Josh Freeman
46	8703	Kyle Orton
47	9902	Chase Daniel
48	4097	Tarvaris Jackson
49	12982	Blaine Gabbert
50	15381	Jeff Tuel
51	12532	Chris Simms
52	12831	Tyrod Taylor
53	14053	Brock Osweiler
54	11755	Seneca Wallace
55	14564	Dominique Davis
56	1034	Matt Hasselbeck
57	6489	Josh Johnson
58	14855	Matt Barkley
59	12956	TJ Yates
60	8590	Dan Orlovsky
60	12083	Derek Anderson
62	11047	Colt McCoy
63	11992	Shaun Hill
64	6276	Luke McCown
65	12137	Charlie Whitehurst
66	5834	Matt Moore
67	8621	Curtis Painter
DEN	QB	16	450	659	68.3	5477	8.3	55	10	115.11	32	-31	-1	1	25.6	409.98
NO	QB	16	446	650	68.6	5162	7.9	39	12	104.66	35	52	1.5	3	22.4	357.68
CAR	QB	16	292	473	61.7	3379	7.1	24	13	88.76	111	585	5.3	6	18.6	297.66
IND	QB	16	343	570	60.2	3822	6.7	23	9	87.04	63	377	6	4	18.3	292.58
CIN	QB	16	363	586	61.9	4296	7.3	33	20	88.8	61	183	3	2	18	288.14
LAC	QB	16	378	544	69.5	4478	8.2	32	11	105.47	28	72	2.6	0	18	287.42
DET	QB	16	371	634	58.5	4650	7.3	29	19	84.17	36	74	2.1	2	17.5	279.4
SEA	QB	16	257	407	63.1	3357	8.2	26	9	101.15	96	539	5.6	1	16.9	270.18
SF	QB	16	243	416	58.4	3197	7.7	21	8	91.6	92	524	5.7	4	16.5	264.28
DAL	QB	15	342	535	63.9	3828	7.2	31	10	96.69	20	38	1.9	0	17.4	260.92
PIT	QB	16	375	584	64.2	4261	7.3	28	14	91.99	26	99	3.8	1	16.3	260.84
PHI	QB	13	203	317	64	2891	9.1	27	2	119.21	57	221	3.9	3	20	259.74
KC	QB	15	308	508	60.6	3313	6.5	23	7	89.13	76	431	5.7	1	16.9	254.22
NE	QB	16	380	628	60.5	4343	6.9	25	11	87.29	33	18	0.5	0	15.7	251.52
ATL	QB	16	439	651	67.4	4515	6.9	26	17	89.61	17	55	3.2	0	15.5	248.1
MIA	QB	16	355	588	60.4	3913	6.7	24	17	81.68	40	238	6	1	14.9	238.32
ARI	QB	16	362	572	63.3	4274	7.5	24	22	83.92	27	3	0.1	0	13.6	217.26
WAS	QB	13	274	456	60.1	3203	7	16	12	82.15	86	489	5.7	0	16.4	213.02
